,Symptom,Population_density
2196,a,255.2680162
4261,e,255.2680162
910,b,255.300992
5690,a,258.2504018
1057,a,258.6063173
1062,e,258.6063173
1063,a,258.6063173
1065,a,258.6063173
806,a,258.9638674
8642,a,260.4408161
3010,c,260.7340143
3017,b,260.7340143
3057,b,260.7340143
3063,a,260.7340143
4935,a,260.7340143
4964,c,260.7340143
5089,b,260.7340143
5234,b,260.7340143
2424,a,263.6107555
2447,c,263.6107555
2451,c,263.6107555
4535,a,263.6107555
11314,a,263.6233995
1054,a,264.2631969
1378,a,264.8958405
1383,a,264.8958405
3282,b,264.9347838
5543,d,264.9347838
2699,e,267.5489461
2705,b,267.5489461
2722,e,267.5489461
4811,a,267.5489461
4833,a,267.5489461
4855,e,267.5489461
4858,a,267.5489461
4863,d,267.5489461
4872,b,267.5489461
4874,c,267.5489461
7361,b,268
7709,b,268
9116,a,268
11128,a,268
8956,e,268.1054124
9891,b,268.1054124
8954,e,268.9661733
8715,a,269.3947162
7641,a,269.6176131
8936,a,269.6176131
8428,e,269.8289333
442,e,270
444,a,270
302,e,270.5804803
440,c,271
443,c,271
447,e,271
453,b,271
456,a,271
460,c,271
466,a,271
467,b,271
471,a,271
1332,c,272.3944891
4797,a,272.4003064
4817,a,272.4003064
7834,c,273
8709,e,273
9233,e,273
11035,a,273
9717,a,275.9215266
9610,a,276.3183929
1013,c,278.3187869
1019,b,278.3187869
1025,a,278.3187869
1030,a,278.3187869
1035,e,278.3187869
1023,c,278.4334166
5347,a,280.6644118
6950,e,280.7327737
8793,a,280.7327737
1001,a,281
6626,e,282.0484215
1815,a,282.2448181
7584,a,282.304019
2433,a,282.5637117
4529,b,282.5637117
2262,a,283.0249637
2275,e,283.0249637
2282,a,283.0249637
2334,e,283.0249637
2337,e,283.0249637
4376,e,283.0249637
4412,e,283.0249637
5906,a,283.0710572
9870,e,283.1284545
10483,a,283.1284545
515,a,284.9769997
1189,a,285.1689341
1199,c,285.1689341
1207,a,285.1689341
3109,e,285.2156975
3110,c,285.2156975
3121,a,285.2156975
1024,b,285.7599659
1027,c,285.7599659
1036,a,285.7599659
2485,a,285.785461
2522,b,285.785461
2555,a,285.785461
4570,a,285.785461
3024,e,287.2499106
3041,d,287.2499106
3079,a,287.2499106
3089,a,287.2499106
2763,c,287.2659127
4891,a,287.2659127
4921,c,287.2659127
4926,a,287.2659127
33,e,287.8148812
62,b,287.8148812
83,b,287.8148812
91,a,287.8148812
105,a,287.8148812
111,a,287.8148812
123,a,287.8148812
124,c,287.8148812
125,a,287.8148812
127,a,287.8148812
144,e,287.8148812
147,a,287.8148812
158,a,287.8148812
176,e,287.8148812
178,b,287.8148812
183,a,287.8148812
189,a,287.8148812
190,a,287.8148812
208,a,287.8148812
215,a,287.8148812
216,a,287.8148812
217,a,287.8148812
218,a,287.8148812
228,a,287.8148812
8837,e,289.3265565
8883,a,291.081807
11319,c,291.337236
8172,b,293.4678195
10318,a,293.4678195
7941,c,293.8651423
5626,a,293.9477886
6786,e,293.9477886
9701,b,293.9477886
10098,a,293.9477886
10821,c,293.9477886
10887,a,293.9477886
11245,c,293.9477886
11311,a,293.9477886
2335,a,298.2743512
4414,a,298.2743512
4416,a,298.2743512
1320,a,298.5976453
1322,c,298.5976453
1323,b,298.5976453
1325,a,298.5976453
1328,a,298.5976453
1329,c,298.5976453
1331,a,298.5976453
1336,a,298.5976453
1344,a,298.5976453
1355,a,298.5976453
1363,a,298.5976453
1364,a,298.5976453
7686,a,299.4974751
498,e,300
2321,a,300.0082463
2342,a,300.0082463
2346,b,300.0082463
4424,b,300.0082463
4439,b,300.0082463
6343,c,300.1026262
7463,a,300.1026262
7886,a,300.1026262
8055,a,300.1026262
1067,a,300.5441241
9855,a,300.5758493
10319,e,300.5758493
4524,e,301.5144048
7248,a,301.8238699
7423,e,302.6450549
8416,a,302.6450549
544,a,303
11305,a,303.9300822
3334,c,304.2260697
3336,e,304.2260697
3337,c,304.2260697
3339,e,304.2260697
3340,a,304.2260697
3343,e,304.2260697
3345,b,304.2260697
3346,e,304.2260697
3348,e,304.2260697
3350,b,304.2260697
3351,b,304.2260697
3353,d,304.2260697
3354,a,304.2260697
5598,a,304.2260697
5602,a,304.2260697
5604,a,304.2260697
5605,a,304.2260697
5606,a,304.2260697
5608,b,304.2260697
5609,b,304.2260697
1775,e,305.1940798
1781,c,305.1940798
1782,a,305.1940798
3750,e,305.1940798
3781,e,305.1940798
9652,a,305.2463706
3280,b,306.2167533
5539,e,306.2167533
2756,a,306.4519839
2765,a,306.4519839
4897,e,306.4519839
4902,a,306.4519839
9110,a,308.1529691
3060,e,308.7268003
3070,a,308.7268003
437,b,309
451,c,309
464,c,309
465,b,309
469,e,309
473,e,309
475,a,309
485,a,309
492,a,309
11109,a,309.5993849
2750,e,312.2339681
4885,a,312.2339681
4892,b,312.2339681
4893,c,312.2339681
4920,b,312.2339681
566,a,313.585965
567,b,313.585965
1058,b,313.6804104
1074,a,313.6804104
6053,c,314.7504792
10260,e,317
6547,e,317.264591
10006,a,321.5003052
8766,b,321.7985066
4526,a,322.0135038
4538,c,322.0135038
1244,a,326
1252,b,326
1263,c,326
8056,a,326.4502075
8383,e,326.4502075
7216,a,326.6589708
9761,b,326.6589708
5875,a,326.9778973
8117,a,326.9778973
8379,a,326.9778973
5751,b,327.6366539
5992,a,329.3181625
8713,b,329.3181625
10468,a,329.4697015
3225,a,330.7120424
3246,b,330.7120424
5450,e,330.7120424
5467,a,330.7120424
5515,b,330.7120424
6645,a,330.9531301
11303,b,330.9531301
7544,a,331.3485943
9445,e,332.0929483
11164,c,332.5041799
9587,c,332.6543549
2563,e,334.2033108
2566,e,334.2033108
4686,a,334.2033108
4697,a,334.2033108
4721,a,334.2033108
4729,c,334.2033108
4755,e,334.2033108
4760,c,334.2033108
4777,a,334.2033108
9790,a,334.7280774
9343,a,334.9415304
869,a,335
7057,e,335.8724134
8104,e,335.8724134
6070,b,336.9303737
2733,a,337.5827909
2743,a,337.5827909
2747,e,337.5827909
4894,b,337.5827909
4899,b,337.5827909
4915,c,337.5827909
4927,a,337.5827909
6217,e,338.7539398
7394,e,338.7539398
7956,a,338.7539398
346,c,338.8980151
352,a,338.8980151
391,a,338.8980151
959,e,338.9191136
967,b,338.9191136
977,a,338.9191136
995,a,338.9191136
1308,a,340
2693,c,340.0480374
2721,e,340.0480374
4789,e,340.0480374
4816,b,340.0480374
4841,b,340.0480374
6095,b,342.0950899
3199,a,342.5933234
3208,e,342.5933234
3211,a,342.5933234
3223,e,342.5933234
3228,a,342.5933234
9474,c,343.6726155
10307,a,343.6726155
7719,a,344.2958244
10610,b,344.2958244
10753,b,344.2958244
2729,d,344.4563917
4896,a,344.4563917
4906,b,344.4563917
4918,a,344.4563917
4923,b,344.4563917
4930,a,344.4563917
5795,a,344.4571445
9731,a,346
9154,a,346.4432793
10481,a,346.4432793
8741,a,347.8626014
6338,c,348.4651175
1819,a,348.978735
1820,b,348.978735
1826,e,348.978735
1832,e,348.978735
1765,b,351.2554001
3762,c,351.2554001
3774,a,351.2554001
3219,a,351.4470099
3226,c,351.4470099
5505,a,351.4470099
1351,e,352.2411916
7155,e,353.8321833
2480,c,354.0640042
4639,e,354.0640042
9085,e,354.5344715
10377,e,354.5344715
8668,a,354.9516435
10836,a,354.9516435
6447,e,355.997018
972,a,356.4211785
3789,d,357.1810749
7412,a,357.6467391
5772,a,359
7153,b,359
8002,a,359
9868,e,359
10153,d,359
10272,a,359
10393,a,359
10406,e,359
1848,a,359.3460384
1850,a,359.3460384
1855,a,359.3460384
1856,e,359.3460384
1857,a,359.3460384
3843,e,359.3460384
3844,b,359.3460384
3845,a,359.3460384
3846,a,359.3460384
3847,a,359.3460384
3848,a,359.3460384
3850,a,359.3460384
3851,e,359.3460384
3854,e,359.3460384
3855,b,359.3460384
3856,b,359.3460384
3859,b,359.3460384
3860,e,359.3460384
3861,a,359.3460384
1101,a,359.4888222
1104,c,359.4888222
1128,b,359.4888222
1177,e,359.4888222
1212,a,362.9449944
1216,b,362.9449944
9299,b,363.3084598
7695,e,365.6537419
2691,e,366.5197702
2719,e,366.5197702
4814,b,366.5197702
9194,c,368
359,b,369.4186891
380,a,369.4186891
385,c,369.4186891
9562,b,370.2082059
9609,a,370.2082059
9886,b,370.4032906
1075,a,370.8353598
1086,a,370.8353598
1088,a,370.8353598
1097,b,370.8353598
1098,a,370.8353598
1117,a,370.8353598
1122,a,370.8353598
1135,a,370.8353598
1166,a,370.8353598
1167,d,370.8353598
1168,b,370.8353598
8908,a,371
